"album_code";"album_id";"album";"track_id";"main_track_id";"titre";"version";"alternate";"composer_avant";"composer_proposé";"action";"justification";"artist";"publisher";"ayants_droit_structurés";"validation"
"PGO0055";"8b271091f733803b";"The World Wedding March";"0ae8cd92ced36451aa938449c3a2d23b";"";"Klezmer Wedding Party Underscore No Melody";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"dc4c76f40b3b266324abe256a25c4d8c";"";"Countryside Wedding";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629789| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"947796580283d7380383c341384a5122";"";"Countryside Wedding Underscore Solo Guitar";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"7f82aed63fd28408ff3a4ded1a1ac96a";"";"A Copacabana Wedding";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629797| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"47031df400254a731b5befddb4729537";"";"A Copacabana Wedding Underscore No Melody";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"56cc18832dcb0880faefdb77af9edc3f";"";"A Copacabana Wedding Underscore No Percussion";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"854b38dff87418edf829479795d296fb";"";"Hell's Angels Wedding";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629807| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"aba84a009a5cbfbafff8b8e5c13816fc";"";"Hell's Angels Wedding Underscore";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0054";"f8c558d97feed65e";"Dark Beats";"af43adedd5770c02f54cb40c36704827";"";"Dark Beats Zombies";"Main";"false";"Ugly Mac Beer";"Ugly Mac Beer";"needs-review";"écart-ayant-droit-à-valider";"";"PARIGO";"Ugly Mac Beer|Composer|SACEM|547737710| · PARIGO|Original Publisher|SACEM|461629743| · Yann KORNOWICZ|Composer|SACEM|803177360|";"needs-review"
"PGO0054";"f8c558d97feed65e";"Dark Beats";"50f131a7d24528a796fc888987ba6de1";"";"Dark Beats Zombies Underscore Low Beat";"Main";"false";"Ugly Mac Beer";"Ugly Mac Beer";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
