"album_code";"album_id";"album";"track_id";"main_track_id";"titre";"version";"composer_avant";"composer_proposé";"action";"justification";"validation"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"c49c33cd10eec297";"";"LE BISTROT BIZARRE";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"7f1b8d82b0377660";"";"SEXY MARTINI";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"bdbf91035d259a5d";"";"ZHIVAGO SWING";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"9542529434c8296c";"";"DANCE OF THE MARIONETTES";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"30e90fc7492f9840";"";"TANGO OF THE TERRIBLES";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"3456cefba82cd2f2";"";"VOULEZ VOUS";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"49a53082991b2053";"";"PARIS AND IN LOVE";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"a69da78455075640";"";"PIGALLE BIZARRE";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"2e14adae6f3e3534";"";"THE MONTMARTRE PARADE";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"d724d3699372c834";"";"FOUFOUTRONIC";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"242f291268239396";"";"THE WOMAN IN THE BERET";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"b424037ef2f2bc27";"";"CAN CAN EDM";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"1f57c6ce263e7702";"";"HEIST ON THE NILE";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"6b5fca7a7b5f08ed";"";"BASTRINGUE HONKY TONK";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
